system:index,LC_Prop1,LC_Prop1_Assessment,LC_Prop2,LC_Prop2_Assessment,LC_Prop3,LC_Prop3_Assessment,LC_Type1,LC_Type2,LC_Type3,LC_Type4,LC_Type5,LW,Latitude,Longitude,QC,ID,mode,.geo
148,1,99,1,99,1,99,16,15,9,7,11,2,26.98615099,70.03560178,0,329,13,"{""type"":""Point"",""coordinates"":[70.03559985214746,26.986149601976503]}"
149,31,99,30,99,30,99,10,10,1,6,6,2,29.1726,91.0521,0,330,10,"{""type"":""Point"",""coordinates"":[91.05210116421696,29.172598457916834]}"
0000000000000000014a,22,97,20,97,20,97,9,9,4,2,2,2,27.0458,104.316,0,331,1,"{""type"":""Point"",""coordinates"":[104.31600046656338,27.045798996768447]}"
0000000000000000014b,31,99,36,99,30,99,12,12,1,6,7,2,29.83626466,74.87474348,0,332,13,"{""type"":""Point"",""coordinates"":[74.87474562927747,29.836264304105395]}"
0000000000000000014c,31,99,36,99,30,99,12,12,1,6,7,2,28.063,76.6651,0,333,13,"{""type"":""Point"",""coordinates"":[76.66510145684231,28.063000210878414]}"
0000000000000000014d,31,99,36,99,30,99,12,12,3,5,8,2,26.663052,85.488231,0,334,1,"{""type"":""Point"",""coordinates"":[85.48823107017354,26.663052057845913]}"
0000000000000000014e,31,99,36,99,30,99,12,12,1,6,7,2,25.71198253,88.18238317,0,335,1,"{""type"":""Point"",""coordinates"":[88.18238425385712,25.71198377145961]}"
0000000000000000014f,31,99,36,97,30,99,12,12,1,6,7,2,21.16856604,95.23946483,0,336,2,"{""type"":""Point"",""coordinates"":[95.23946459946585,21.16856557619412]}"
150,31,99,36,96,30,99,12,12,1,6,7,2,21.146434,106.021926,0,337,1,"{""type"":""Point"",""coordinates"":[106.02192767478225,21.14643505766587]}"
151,31,99,36,99,30,99,12,12,3,5,8,2,25.9969939,68.52337,0,338,13,"{""type"":""Point"",""coordinates"":[68.52337153458919,25.996991674391655]}"
152,1,99,1,99,1,99,16,15,9,7,11,2,28.91416906,60.76058018,0,339,10,"{""type"":""Point"",""coordinates"":[60.76058047895896,28.91417125636438]}"
153,1,99,1,99,1,99,16,15,9,7,11,2,27.69029672,63.07933558,0,340,13,"{""type"":""Point"",""coordinates"":[63.07933532225609,27.690295167528237]}"
154,15,99,10,99,10,99,5,5,6,4,4,2,33.607193,107.119625,0,341,4,"{""type"":""Point"",""coordinates"":[107.11962458110904,33.60719229197297]}"
155,15,99,10,99,10,99,5,5,6,4,4,2,33.607193,107.119625,0,342,4,"{""type"":""Point"",""coordinates"":[107.11962458110904,33.60719229197297]}"
156,11,99,10,99,10,99,1,1,7,1,1,2,34.90724456,133.5493367,0,343,4,"{""type"":""Point"",""coordinates"":[133.54933633992917,34.90724320410512]}"
157,31,99,30,99,30,99,10,10,1,6,6,2,36.33230139,64.0874901,0,344,13,"{""type"":""Point"",""coordinates"":[64.0874890203286,36.33230055516957]}"
